Medico;Especialidad;Consultorio;Dia;Hora;Practica;Estado;Paciente
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;09:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;09:00;Electrocardiograma;OCUPADO;Patricio Corso (DNI: 20585707, OS: OSDE)  (DNI: , OS: )
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;10:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;10:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;11:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;11:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;12:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;12:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;13:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;13:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;14:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;14:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;15:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;15:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;16:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;16:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;17:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Lunes;17:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;09:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;09:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;10:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;10:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;11:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;11:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;12:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;12:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;13:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;13:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;14:00;Consulta;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;14:00;Electrocardiograma;DISPONIBLE;-
Dr. Fernandez Francisco;Cardiologo;Consultorio 6;Martes;15:00;Consulta;DISPONIBLE;-
