Medico;Especialidad;Consultorio;Dia;Hora;Practica;Estado;Paciente
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;09:00;Consulta;OCUPADO;Pilar Corso (DNI: 44684941, OS: OSDE)  (DNI: , OS: )
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;09:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;09:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;10:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;10:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;10:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;11:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;11:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;11:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;12:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;12:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;12:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;13:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;13:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;13:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;14:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;14:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;14:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;15:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;15:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;15:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;16:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;16:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;16:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;17:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;17:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Lunes;17:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;09:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;09:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;09:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;10:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;10:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;10:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;11:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;11:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;11:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;12:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;12:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;12:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;13:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;13:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;13:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;14:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;14:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;14:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;15:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;15:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;15:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;16:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;16:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;16:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;17:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;17:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Martes;17:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;09:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;09:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;09:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;10:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;10:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;10:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;11:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;11:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;11:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;12:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;12:00;Control anual;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;12:00;Vacunacion mayores;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;13:00;Consulta;DISPONIBLE;-
Dr. Lopez Marcos;Medico Clinico;Consultorio 1;Miercoles;13:00;Control anual;DISPONIBLE;-
