Medico;Especialidad;Consultorio;Dia;Hora;Practica;Estado;Paciente
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;09:00;Consulta;OCUPADO;Veronica Gusberti (DNI: 23456654, OS: SWISS)  (DNI: , OS: )
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;09:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;09:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;10:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;10:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;10:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;11:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;11:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;11:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;12:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;12:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;12:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;13:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;13:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;13:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;14:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;14:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;14:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;15:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;15:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;15:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;16:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;16:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;16:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;17:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;17:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Lunes;17:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;09:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;09:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;09:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;10:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;10:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;10:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;11:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;11:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;11:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;12:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;12:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;12:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;13:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;13:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;13:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;14:00;Consulta;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;14:00;Ecografia obstetrica;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;14:00;Control prenatal;DISPONIBLE;-
Dra. Mendez Agustina;Obstetra;Consultorio 16;Martes;15:00;Consulta;DISPONIBLE;-
