Medico;Especialidad;Consultorio;Dia;Hora;Practica;Estado;Paciente
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;09:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;09:00;Vacunacion infantil;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;10:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;10:00;Vacunacion infantil;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;11:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;11:00;Vacunacion infantil;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;12:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;12:00;Vacunacion infantil;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;13:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;13:00;Vacunacion infantil;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;14:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;14:00;Vacunacion infantil;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;15:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;15:00;Vacunacion infantil;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;16:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;16:00;Vacunacion infantil;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;17:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Lunes;17:00;Vacunacion infantil;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Martes;09:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Martes;09:00;Vacunacion infantil;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Martes;10:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Martes;10:00;Vacunacion infantil;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Martes;11:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Martes;11:00;Vacunacion infantil;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Martes;12:00;Consulta;DISPONIBLE;-
Dr. Torres Juan;Pediatra;Consultorio 21;Martes;12:00;Vacunacion infantil;DISPONIBLE;-
